ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,8453213217.475949,8.45321321747595
Albania,4660998527.187716,4.660998527187716
Algeria,113117486965.7076,113.1174869657076
Angola,15955302605.790087,15.955302605790086
Antarctica,23513627.932892274,0.023513627932892273
Argentina,162871644435.2803,162.8716444352803
Armenia,5235799357.754277,5.235799357754277
Australia,379426966443.8108,379.4269664438108
Austria,73375109837.0369,73.3751098370369
Azerbaijan,27224513520.32212,27.22451352032212
Bangladesh,54416940929.843994,54.416940929843996
Belarus,63544224317.3657,63.5442243173657
Belgium,112968523833.81627,112.96852383381626
Belize,273085092.6673846,0.2730850926673846
Benin,4741115620.564386,4.741115620564386
Bhutan,831336865.1497655,0.8313368651497655
Bolivia,13921575073.680082,13.921575073680083
Bosnia and Herzegovina,22501466636.180527,22.501466636180528
Botswana,4358328776.805889,4.358328776805889
Brazil,371186311806.0151,371.18631180601506
Brunei,8598833362.957571,8.59883336295757
Bulgaria,48683416196.45747,48.68341619645747
Burkina Faso,2113458753.5400589,2.113458753540059
Burundi,250489663.08424315,0.25048966308424314
Cambodia,5775625814.820001,5.775625814820001
Cameroon,6429109096.707076,6.429109096707076
Canada,545879710124.9312,545.8797101249312
Central African Republic,394339807.972342,0.394339807972342
Chad,834145365.8373152,0.8341453658373152
Chile,52531786996.54661,52.53178699654661
China,8072645604415.211,8072.645604415211
Colombia,61471036835.591736,61.47103683559173
Costa Rica,7360689099.554443,7.360689099554444
Croatia,22937785081.40401,22.937785081404012
Cuba,20007394133.467392,20.007394133467393
Cyprus,7231365252.132785,7.231365252132785
Czechia,129508705330.49573,129.50870533049573
Democratic Republic of the Congo,3435208325.754061,3.4352083257540613
Denmark,40916819760.50834,40.91681976050834
Djibouti,353244228.55931765,0.35324422855931764
Dominican Republic,19198582671.65136,19.19858267165136
East Timor,219801216.50416383,0.21980121650416384
Ecuador,31839827929.27625,31.83982792927625
Egypt,199371412532.43735,199.37141253243735
El Salvador,7036168257.921614,7.036168257921614
Equatorial Guinea,2080924719.4960947,2.0809247194960947
Eritrea,558075954.9518843,0.5580759549518842
Estonia,16971823085.247807,16.971823085247806
Ethiopia,7759711899.50211,7.7597118995021095
Falkland Islands,39348831.166947484,0.039348831166947484
Fiji,1018202509.1838554,1.0182025091838554
Finland,46243709158.57718,46.24370915857718
France,381479228064.5604,381.4792280645604
French Southern and Antarctic Lands,344195.8875207742,0.0003441958875207742
Gabon,3719533327.64337,3.71953332764337
Gambia,471171966.9456669,0.47117196694566693
Georgia,6992361120.713415,6.992361120713415
Germany,788767895157.9128,788.7678951579128
Ghana,10477569778.468063,10.477569778468064
Greece,88767620558.20857,88.76762055820858
Greenland,1714810009.3774602,1.7148100093774603
Guatemala,12703139938.578197,12.703139938578197
Guinea,2276202506.6551795,2.2762025066551796
Guinea-Bissau,349262139.7196366,0.3492621397196366
Guyana,1034636347.8510047,1.0346363478510048
Haiti,2294219004.03398,2.29421900403398
Honduras,7862774251.872541,7.862774251872541
Hungary,54878185018.76319,54.87818501876319
Iceland,4326411708.062491,4.3264117080624915
India,1451874011275.2097,1451.8740112752098
Indonesia,339482277807.84515,339.48227780784515
Iran,557543144600.982,557.543144600982
Iraq,98455786252.20988,98.45578625220989
Ireland,34309176199.870644,34.30917619987064
Israel,43858984278.180695,43.85898427818069
Italy,400585719303.679,400.585719303679
Ivory Coast,6842711810.403676,6.842711810403676
Jamaica,7721716589.70211,7.72171658970211
Japan,1072475906631.7155,1072.4759066317154
Jordan,19903254056.53892,19.90325405653892
Kazakhstan,235586025244.5763,235.5860252445763
Kenya,13125306126.462566,13.125306126462567
Kosovo,12292810044.628292,12.292810044628292
Kuwait,72442083842.63524,72.44208384263524
Kyrgyzstan,8939112975.866217,8.939112975866216
Laos,3905557294.652135,3.905557294652135
Latvia,10741566768.543457,10.741566768543457
Lebanon,15181110477.706413,15.181110477706413
Lesotho,538853947.1893593,0.5388539471893593
Liberia,632676261.9269804,0.6326762619269803
Libya,46735827674.0291,46.735827674029096
Lithuania,11378758884.496452,11.378758884496452
Luxembourg,8002254089.357506,8.002254089357505
Macedonia,9875875549.674425,9.875875549674426
Madagascar,1794357404.095641,1.794357404095641
Malawi,4133341723.525673,4.133341723525673
Malaysia,209035430050.6374,209.0354300506374
Mali,2484323551.791225,2.484323551791225
Mauritania,2085253553.9659739,2.085253553965974
Mexico,445268924735.5073,445.2689247355073
Moldova,5265375730.053514,5.265375730053513
Mongolia,15209750492.588472,15.209750492588473
Montenegro,2863642369.0155344,2.8636423690155346
Morocco,50235099421.86217,50.23509942186217
Mozambique,3978936600.2487345,3.9789366002487343
Myanmar,9032310248.596672,9.032310248596673
Namibia,3737932384.2611084,3.7379323842611085
Nepal,4968737825.043963,4.968737825043964
Netherlands,178618364943.4171,178.6183649434171
New Caledonia,2186932098.3823876,2.1869320983823877
New Zealand,31239572720.8099,31.2395727208099
Nicaragua,4713516333.939701,4.713516333939701
Niger,1547738274.0754173,1.5477382740754173
Nigeria,68947936394.86494,68.94793639486494
North Korea,69253533575.08278,69.25353357508278
Northern Cyprus,1512976497.5483124,1.5129764975483124
Norway,38691777629.51406,38.691777629514064
Oman,46459422948.65287,46.45942294865287
Pakistan,156662941010.39163,156.66294101039162
Palestine,5610223261.185292,5.6102232611852925
Panama,9059528109.315094,9.059528109315094
Papua New Guinea,3958410474.2108765,3.9584104742108766
Paraguay,5383814091.49467,5.38381409149467
Peru,42454741883.83964,42.45474188383964
Philippines,61454725766.32752,61.45472576632752
Poland,314714387345.0599,314.7143873450599
Portugal,48280402443.963234,48.28040244396323
Puerto Rico,8340674517.14058,8.340674517140581
Qatar,28902023789.233345,28.902023789233343
Republic of Serbia,45805026149.80007,45.80502614980007
Republic of the Congo,3076547534.896796,3.0765475348967963
Romania,89801948230.07228,89.80194823007228
Russia,1605035376258.0044,1605.0353762580044
Rwanda,530835679.81507784,0.5308356798150778
Saudi Arabia,360608811994.21735,360.6088119942173
Senegal,6791241585.326617,6.791241585326617
Sierra Leone,598896369.1910869,0.5988963691910869
Slovakia,36972004311.27141,36.972004311271405
Slovenia,16567648580.080107,16.567648580080107
Solomon Islands,298747007.75757945,0.29874700775757945
Somalia,740779567.0722038,0.7407795670722037
Somaliland,248265024.74040702,0.24826502474040701
South Africa,435551995515.6512,435.5519955156512
South Korea,416430330024.192,416.430330024192
