ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,3741281416.411277,3.741281416411277
Albania,7470798095.97097,7.47079809597097
Algeria,55648391895.88736,55.64839189588736
Angola,3930654020.61343,3.93065402061343
Antarctica,11294344.383432068,0.011294344383432069
Argentina,96221977250.9467,96.22197725094671
Armenia,19650051057.798824,19.650051057798823
Australia,208371016915.91562,208.37101691591562
Austria,59482720762.509026,59.482720762509025
Azerbaijan,39292789219.97324,39.292789219973244
Bangladesh,8635107664.33205,8.63510766433205
Belarus,102843345604.37077,102.84334560437077
Belgium,121192866162.19774,121.19286616219775
Belize,91198890.05314787,0.09119889005314787
Benin,660807718.6315384,0.6608077186315384
Bhutan,116044473.22226503,0.11604447322226503
Bolivia,5745980634.243413,5.745980634243413
Bosnia and Herzegovina,17065353031.882057,17.065353031882058
Botswana,1583692507.7748058,1.5836925077748059
Brazil,185336691916.97348,185.33669191697348
Brunei,3728176145.597896,3.728176145597896
Bulgaria,93441032315.7005,93.4410323157005
Burkina Faso,408926150.5266919,0.4089261505266919
Burundi,93429134.3208736,0.0934291343208736
Cambodia,604711539.5980996,0.6047115395980995
Cameroon,2562910678.875633,2.5629106788756326
Canada,414555604424.63025,414.55560442463025
Central African Republic,231950522.2692966,0.23195052226929658
Chad,346896863.0635337,0.34689686306353373
Chile,16518651967.705929,16.518651967705928
China,1609881924857.8442,1609.8819248578443
Colombia,39611070834.57378,39.61107083457377
Costa Rica,2052140513.0583463,2.052140513058346
Croatia,25772850219.700798,25.772850219700796
Cuba,29965218017.47201,29.96521801747201
Cyprus,2990941390.8130593,2.9909413908130595
Czechia,208416589406.71118,208.41658940671118
Democratic Republic of the Congo,3578926064.8006067,3.5789260648006067
Denmark,45170662978.80877,45.17066297880877
Djibouti,279260649.61606735,0.27926064961606734
Dominican Republic,6337663264.8842125,6.337663264884212
East Timor,19623797.503124073,0.019623797503124072
Ecuador,11803701898.839659,11.803701898839659
Egypt,44968423584.38656,44.96842358438656
El Salvador,1980890725.679089,1.980890725679089
Equatorial Guinea,43084221.06878915,0.04308422106878915
Eritrea,279253191.634728,0.279253191634728
Estonia,41238031800.468025,41.23803180046802
