ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,10298883591.914764,10.298883591914764
Albania,4996054987.07483,4.99605498707483
Algeria,115904669199.31264,115.90466919931264
Angola,16480255115.995829,16.480255115995828
Antarctica,23281495.905405898,0.0232814959054059
Argentina,174835624389.30408,174.8356243893041
Armenia,5092189521.644959,5.0921895216449595
Australia,383902796305.94116,383.90279630594114
Austria,79304934087.75157,79.30493408775158
Azerbaijan,26242151606.764206,26.242151606764207
Bangladesh,59837699428.141884,59.83769942814188
Belarus,68148359160.05344,68.14835916005343
Belgium,120046951751.26485,120.04695175126484
Belize,314987260.52427423,0.3149872605242742
Benin,5148821523.736359,5.148821523736359
Bhutan,939663786.3518685,0.9396637863518685
Bolivia,15064817730.602068,15.064817730602067
Bosnia and Herzegovina,23177684031.951817,23.177684031951816
Botswana,3620662666.98248,3.62066266698248
Brazil,423119095321.70245,423.11909532170245
Brunei,8012381117.324832,8.012381117324832
Bulgaria,51688019437.45401,51.68801943745401
Burkina Faso,2243099686.6952467,2.243099686695247
Burundi,345281027.79114336,0.34528102779114334
Cambodia,6110271138.271607,6.1102711382716075
Cameroon,6699668337.745727,6.6996683377457265
Canada,562653030145.638,562.6530301456379
Central African Republic,409479536.83504325,0.40947953683504323
Chad,872538448.8463855,0.8725384488463854
Chile,57318609055.74437,57.31860905574437
China,8719054074716.045,8719.054074716045
Colombia,63551565345.42547,63.551565345425466
Costa Rica,7303665094.592994,7.3036650945929935
Croatia,22438680789.41397,22.438680789413972
Cuba,21006116823.87936,21.00611682387936
Cyprus,6930168025.469576,6.930168025469576
Czechia,131224576277.12274,131.22457627712274
Democratic Republic of the Congo,3673455895.2549734,3.6734558952549734
Denmark,41644095276.99321,41.64409527699321
Djibouti,382610442.17473954,0.38261044217473955
Dominican Republic,20205985539.663315,20.205985539663313
East Timor,243107921.49275845,0.24310792149275845
Ecuador,34303509293.53595,34.30350929353595
Egypt,202012441085.04483,202.01244108504483
El Salvador,6880249657.493414,6.8802496574934136
Equatorial Guinea,2162250826.633273,2.162250826633273
Eritrea,597263415.9897851,0.597263415989785
Estonia,21712717830.33045,21.712717830330448
Ethiopia,7784187750.341321,7.784187750341321
Falkland Islands,38629245.88092568,0.03862924588092568
Fiji,1518100475.7945068,1.5181004757945067
Finland,51520735804.85164,51.52073580485164
France,390622725276.7545,390.6227252767545
French Southern and Antarctic Lands,378000.5906261634,0.0003780005906261634
Gabon,4205290324.238978,4.205290324238978
Gambia,480453205.80899566,0.48045320580899564
Georgia,6810354488.26631,6.810354488266309
Germany,837452979417.8336,837.4529794178336
Ghana,11682951272.186543,11.682951272186543
Greece,83090707143.9976,83.0907071439976
Greenland,1838525095.2119782,1.8385250952119783
Guatemala,12305271581.074406,12.305271581074406
Guinea,2596327042.227967,2.596327042227967
Guinea-Bissau,358112060.8131661,0.3581120608131661
Guyana,1130589732.5539918,1.1305897325539918
Haiti,2764830061.264028,2.764830061264028
Honduras,7708871073.479073,7.708871073479073
Hungary,55597014582.038185,55.597014582038184
Iceland,4287448561.7668014,4.2874485617668014
India,1558174628741.5042,1558.1746287415042
Indonesia,366371821028.1291,366.3718210281291
Iran,561544715986.9783,561.5447159869783
Iraq,112930651241.23778,112.93065124123778
