ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,4683112275.765909,4.683112275765909
Albania,6909499088.718333,6.909499088718333
Algeria,68984841258.05699,68.98484125805699
Angola,5397968731.6886215,5.397968731688621
Antarctica,14026166.269029371,0.014026166269029371
Argentina,98612632528.20789,98.61263252820788
Armenia,22299926242.16916,22.29992624216916
Australia,253290616543.9535,253.2906165439535
Austria,65757840064.30938,65.75784006430938
Azerbaijan,54026247904.491196,54.02624790449119
Bangladesh,15038644868.541426,15.038644868541425
Belarus,107146522154.76822,107.14652215476822
Belgium,119216277313.73428,119.21627731373428
Belize,147698954.55542237,0.14769895455542237
Benin,562112082.3433155,0.5621120823433154
Bhutan,218655326.64190513,0.21865532664190512
Bolivia,6792451742.02936,6.7924517420293595
Bosnia and Herzegovina,24509941369.372536,24.509941369372537
Botswana,2984409381.8756065,2.9844093818756066
Brazil,218222027112.83823,218.22202711283822
Brunei,4644745371.147846,4.644745371147846
Bulgaria,81677272330.05167,81.67727233005166
Burkina Faso,475798221.52133626,0.4757982215213363
Burundi,219313423.6854359,0.21931342368543588
Cambodia,806622178.744626,0.806622178744626
Cameroon,3480190666.0992293,3.4801906660992294
Canada,447988481719.17706,447.98848171917706
Central African Republic,283915159.07834864,0.28391515907834863
Chad,450797905.71604955,0.45079790571604955
Chile,23562179163.5677,23.5621791635677
China,2400679927122.038,2400.679927122038
Colombia,49823617096.24196,49.82361709624196
Costa Rica,2996599604.3215275,2.9965996043215273
Croatia,26019079125.16649,26.01907912516649
Cuba,32564265908.575596,32.56426590857559
Cyprus,4346454328.201504,4.346454328201504
Czechia,176924580624.88885,176.92458062488885
Democratic Republic of the Congo,3898449811.69413,3.89844981169413
Denmark,43640514094.39247,43.64051409439247
Djibouti,427917154.41819674,0.4279171544181967
Dominican Republic,7851527183.649947,7.851527183649947
East Timor,28877109.71976347,0.02887710971976347
Ecuador,15751086420.220951,15.75108642022095
Egypt,88356284442.17609,88.35628444217609
El Salvador,2704314987.8392005,2.7043149878392003
Equatorial Guinea,55883670.03281074,0.055883670032810744
Eritrea,311627713.5870879,0.3116277135870879
Estonia,39384504523.10281,39.38450452310281
Ethiopia,2701362617.0704584,2.7013626170704583
Falkland Islands,20505561.704468407,0.020505561704468406
Fiji,908412197.1296366,0.9084121971296366
Finland,48318723736.415726,48.31872373641573
France,389979585814.7252,389.9795858147252
French Southern and Antarctic Lands,155516.37376926807,0.00015551637376926808
Gabon,3606181387.9872413,3.6061813879872413
Gambia,157810354.6824429,0.1578103546824429
Georgia,34792956397.892136,34.792956397892134
Germany,1017521755320.1412,1017.5217553201412
Ghana,3459318047.8785286,3.459318047878529
Greece,71379261817.60269,71.3792618176027
Greenland,822700199.9334513,0.8227001999334513
Guatemala,4225969132.004112,4.225969132004112
Guinea,1016734525.2304863,1.0167345252304862
Guinea-Bissau,190908414.23585817,0.19090841423585816
Guyana,782197565.4978628,0.7821975654978628
Haiti,1311765059.4587924,1.3117650594587924
Honduras,2332686019.8637094,2.3326860198637096
Hungary,74785584972.61247,74.78558497261247
Iceland,2516909757.9760127,2.5169097579760127
India,567483007364.2733,567.4830073642734
Indonesia,128047857627.90074,128.04785762790075
Iran,200756246597.86465,200.75624659786465
Iraq,70212081177.6932,70.21208117769321
Ireland,23641692177.263565,23.641692177263565
Israel,24716027813.355743,24.716027813355744
Italy,385010120086.85266,385.0101200868527
Ivory Coast,3292070586.5672483,3.2920705865672484
Jamaica,7299482698.826745,7.299482698826745
Japan,1055256090330.191,1055.256090330191
