ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,10970724076.24301,10.970724076243009
Albania,4915537260.177139,4.915537260177139
Algeria,180185951626.14667,180.18595162614668
Angola,25009662370.489376,25.009662370489377
Antarctica,27429109.975117248,0.027429109975117247
Argentina,190471464678.43942,190.47146467843942
Armenia,7999949981.087484,7.999949981087484
Australia,347220335483.85754,347.2203354838575
Austria,66785516924.351295,66.7855169243513
Azerbaijan,37718820482.40465,37.718820482404645
Bangladesh,117945184810.45778,117.94518481045777
Belarus,58707058128.64462,58.707058128644626
Belgium,93385647905.42162,93.38564790542162
Belize,322709082.8785286,0.3227090828785286
Benin,6749467325.21844,6.74946732521844
Bhutan,1848946813.4660442,1.8489468134660443
Bolivia,22835782428.37905,22.83578242837905
Bosnia and Herzegovina,23446768053.780197,23.446768053780197
Botswana,7499178435.488993,7.499178435488993
Brazil,460809257763.2347,460.80925776323465
Brunei,10417242025.97687,10.41724202597687
Bulgaria,51468778851.74524,51.46877885174524
Burkina Faso,6360418783.127123,6.360418783127123
Burundi,841782379.883597,0.841782379883597
Cambodia,18285694975.02091,18.28569497502091
Cameroon,10010919446.509537,10.010919446509536
Canada,572705799426.7935,572.7057994267934
Central African Republic,596995504.8510036,0.5969955048510036
Chad,2844073247.957445,2.844073247957445
Chile,67960203468.661934,67.96020346866193
China,11607556837840.568,11607.556837840568
Colombia,88730768689.483,88.730768689483
Costa Rica,8074191987.6087475,8.074191987608748
Croatia,18718228754.543297,18.718228754543297
Cuba,15790976724.472658,15.790976724472658
Cyprus,6311616781.228776,6.311616781228776
Czechia,109994019496.78062,109.99401949678062
Democratic Republic of the Congo,5621717215.228803,5.621717215228803
Denmark,24496516988.385403,24.4965169883854
Djibouti,424126601.8288953,0.4241266018288953
Dominican Republic,28501054597.205475,28.501054597205474
East Timor,590985651.9266032,0.5909856519266032
Ecuador,38953379421.38066,38.95337942138066
Egypt,230817930829.39996,230.81793082939996
El Salvador,7996800424.764409,7.996800424764409
Equatorial Guinea,2014320110.6828613,2.014320110682861
Eritrea,724836272.2357836,0.7248362722357836
Estonia,12604010254.87991,12.60401025487991
Ethiopia,17346543524.264015,17.346543524264014
Falkland Islands,54570053.34737575,0.054570053347375753
Fiji,1941923774.610024,1.941923774610024
Finland,29151672003.11462,29.15167200311462
France,322095898097.26605,322.09589809726606
