ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,2734282260.5975084,2.7342822605975083
Albania,5697108814.48422,5.69710881448422
Algeria,33738194036.682987,33.738194036682984
Angola,4059679306.2676506,4.05967930626765
Antarctica,13994039.23293477,0.013994039232934768
Argentina,87514761147.48363,87.51476114748363
Armenia,12171600950.242615,12.171600950242615
Australia,157092902128.75842,157.09290212875842
Austria,61276395861.22043,61.27639586122043
Azerbaijan,23624109627.80585,23.62410962780585
Bangladesh,3754343448.584654,3.754343448584654
Belarus,65452276912.47251,65.45227691247251
Belgium,142429122450.874,142.429122450874
Belize,81997473.9936433,0.0819974739936433
Benin,544509725.698721,0.544509725698721
Bhutan,77786350.77034369,0.0777863507703437
Bolivia,4647016634.908126,4.647016634908126
Bosnia and Herzegovina,11551817599.190424,11.551817599190423
Botswana,322684613.92536956,0.32268461392536957
Brazil,115610670435.95583,115.61067043595583
Brunei,1526256064.8362994,1.5262560648362995
Bulgaria,71853392887.48627,71.85339288748627
Burkina Faso,326728172.2237007,0.3267281722237007
Burundi,72033920.9364506,0.0720339209364506
Cambodia,480039527.2173287,0.48003952721732873
Cameroon,1207277659.4527488,1.2072776594527488
Canada,393209569601.6786,393.2095696016786
Central African Republic,154115425.25295165,0.15411542525295166
Chad,274090906.99780107,0.2740909069978011
Chile,21522404844.16513,21.52240484416513
China,983806496925.1094,983.8064969251094
Colombia,29263560583.1335,29.2635605831335
Costa Rica,1700934421.7128885,1.7009344217128886
Croatia,22097967817.046173,22.09796781704617
Cuba,20417546547.423447,20.417546547423445
Cyprus,2153860918.0389757,2.153860918038976
Czechia,212585081247.85892,212.5850812478589
Democratic Republic of the Congo,3590125075.1212196,3.5901250751212195
Denmark,46899204466.555725,46.89920446655572
Djibouti,196186321.03148755,0.19618632103148756
Dominican Republic,4957549589.996885,4.957549589996885
East Timor,14027328.159226894,0.014027328159226894
Ecuador,4456854048.438158,4.456854048438158
Egypt,25205374573.34957,25.20537457334957
El Salvador,1937752798.628549,1.937752798628549
Equatorial Guinea,45604765.00967932,0.04560476500967932
