ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,3390106334.064562,3.3901063340645616
Albania,2545518626.7026873,2.5455186267026875
Algeria,79339233727.62021,79.33923372762021
Angola,5782389086.287385,5.782389086287385
Antarctica,15192250.685483912,0.015192250685483912
Argentina,109590384295.29321,109.59038429529322
Armenia,5912421314.750849,5.912421314750849
Australia,263087355708.97772,263.0873557089777
Austria,65002530022.32105,65.00253002232105
Azerbaijan,39253032830.95288,39.25303283095288
Bangladesh,17223310373.349583,17.223310373349584
Belarus,80692796673.60794,80.69279667360794
Belgium,119124298357.58545,119.12429835758545
Belize,152829007.8505807,0.1528290078505807
Benin,574333122.9950918,0.5743331229950918
Bhutan,245353401.4713168,0.24535340147131682
Bolivia,9105375870.598076,9.105375870598076
Bosnia and Herzegovina,13979280505.875113,13.979280505875112
Botswana,3506732672.8438683,3.506732672843868
Brazil,239322082346.09717,239.32208234609718
Brunei,5760811473.20841,5.760811473208411
Bulgaria,64403059874.17338,64.40305987417338
Burkina Faso,559768544.3527793,0.5597685443527792
Burundi,262382879.77298373,0.26238287977298375
Cambodia,960023497.2211529,0.9600234972211529
Cameroon,3300676340.6645913,3.3006763406645914
Canada,456557956903.71014,456.55795690371014
Central African Republic,302737607.9134794,0.30273760791347937
Chad,341376957.8264508,0.34137695782645083
Chile,26370542405.1672,26.3705424051672
China,2864992154865.9805,2864.9921548659804
Colombia,57035779361.623055,57.03577936162306
Costa Rica,4287839136.032795,4.287839136032795
Croatia,17638578359.028656,17.638578359028656
Cuba,17093144839.730602,17.093144839730602
Cyprus,5414953334.9618025,5.414953334961803
Czechia,151251722871.42407,151.25172287142408
Democratic Republic of the Congo,2118161807.5684004,2.1181618075684003
Denmark,48347101925.33537,48.34710192533537
Djibouti,458027357.9400357,0.4580273579400357
Dominican Republic,9410716034.389778,9.410716034389779
East Timor,33665404.97409295,0.033665404974092955
Ecuador,16233279448.745121,16.233279448745122
Egypt,89848575582.74666,89.84857558274666
El Salvador,4131539772.9968224,4.131539772996822
Equatorial Guinea,61834219.862212464,0.061834219862212464
Eritrea,624479591.0991269,0.624479591099127
Estonia,21474524629.468346,21.474524629468345
Ethiopia,2670630221.135929,2.670630221135929
Falkland Islands,21517498.959705446,0.021517498959705447
Fiji,985696134.7451336,0.9856961347451336
Finland,47153202322.45944,47.15320232245944
France,382207610363.8458,382.20761036384584
French Southern and Antarctic Lands,168445.45791021278,0.00016844545791021276
Gabon,3125009882.630848,3.125009882630848
Gambia,171195764.55350843,0.17119576455350843
Georgia,17021729679.45585,17.021729679455852
Germany,935551355690.7112,935.5513556907111
Ghana,3847984847.6201444,3.8479848476201446
Greece,72740702373.01453,72.74070237301453
Greenland,844821776.6498493,0.8448217766498493
Guatemala,5716389936.097462,5.716389936097461
Guinea,925518416.8067561,0.9255184168067562
Guinea-Bissau,225341073.2640925,0.2253410732640925
Guyana,725721825.2377702,0.7257218252377702
Haiti,1091151367.3475025,1.0911513673475024
Honduras,2782503824.6671004,2.7825038246671006
Hungary,64927189019.47751,64.92718901947751
Iceland,2596820137.5496817,2.5968201375496816
India,656037016763.1216,656.0370167631215
Indonesia,162880944680.60385,162.88094468060385
Iran,235941174795.9861,235.94117479598611
Iraq,101174731535.54128,101.17473153554127
Ireland,24044839010.694134,24.044839010694133
Israel,29715645884.250507,29.715645884250506
Italy,380318818964.6746,380.3188189646746
Ivory Coast,3571530806.1494966,3.5715308061494966
Jamaica,8110748883.514725,8.110748883514725
Japan,1070756815297.1512,1070.7568152971512
Jordan,12962846677.954763,12.962846677954763
Kazakhstan,229262240173.78687,229.26224017378686
Kenya,6580691577.991768,6.580691577991768
Kosovo,9371701938.243961,9.37170193824396
Kuwait,29427133673.027885,29.427133673027885
Kyrgyzstan,11806300646.146833,11.806300646146834
Laos,1477130480.6585054,1.4771304806585055
Latvia,14112709690.726727,14.112709690726726
Lebanon,9130447010.985367,9.130447010985367
Lesotho,169328014.8118531,0.1693280148118531
Liberia,311016554.8823455,0.3110165548823455
Libya,29845969964.06466,29.845969964064658
Lithuania,13901418977.99949,13.90141897799949
Luxembourg,10228340832.328503,10.228340832328502
Macedonia,9499736685.783323,9.499736685783324
Madagascar,1043517583.9800715,1.0435175839800714
Malawi,1964139700.6449702,1.9641397006449701
Malaysia,107264101704.40306,107.26410170440306
Mali,645752312.0329897,0.6457523120329898
Mauritania,2192893725.571408,2.1928937255714076
Mexico,309487182625.8818,309.48718262588176
Moldova,9155973506.3993,9.155973506399299
Mongolia,12656833755.363132,12.656833755363133
Montenegro,2175371119.5335937,2.175371119533594
Morocco,26469826261.580566,26.469826261580568
Mozambique,1973693672.1612895,1.9736936721612894
Myanmar,5801997361.124352,5.801997361124353
Namibia,1898242236.966816,1.898242236966816
Nepal,2050434463.7638066,2.0504344637638066
Netherlands,172248682572.2632,172.24868257226322
New Caledonia,1514845792.3700073,1.5148457923700074
New Zealand,25983225970.01416,25.98322597001416
Nicaragua,2359230940.587109,2.3592309405871092
Niger,930769003.9633371,0.9307690039633371
Nigeria,67432381001.03385,67.43238100103385
North Korea,99935448128.96413,99.93544812896413
Northern Cyprus,569368300.1260716,0.5693683001260715
Norway,31975191914.53044,31.97519191453044
Oman,20367691171.33179,20.367691171331792
Pakistan,83362971914.8688,83.36297191486881
Palestine,3533451006.9737673,3.5334510069737672
Panama,4072414164.4149117,4.072414164414912
Papua New Guinea,2185526070.8364687,2.1855260708364685
Paraguay,3377309276.4216037,3.3773092764216037
Peru,22304834377.199158,22.304834377199157
Philippines,42355911525.11195,42.35591152511196
Poland,360134379809.7148,360.1343798097148
Portugal,35477766156.784485,35.47776615678448
Puerto Rico,11801016045.290802,11.801016045290803
Qatar,8567885599.341397,8.567885599341396
Republic of Serbia,34565940107.02454,34.565940107024545
Republic of the Congo,1499003244.246148,1.499003244246148
Romania,136105855541.90114,136.10585554190115
Russia,1933208743370.278,1933.2087433702782
Rwanda,476666308.7002137,0.47666630870021365
Saudi Arabia,160070115287.36948,160.07011528736948
Senegal,2650771317.5264997,2.6507713175264995
Sierra Leone,410046789.56511843,0.4100467895651184
Slovakia,47478135818.03138,47.47813581803138
Slovenia,13919699797.54021,13.919699797540211
Solomon Islands,175163884.246403,0.175163884246403
Somalia,373580934.2560708,0.3735809342560708
Somaliland,140762784.83876374,0.14076278483876375
South Africa,290411205294.50574,290.41120529450575
South Korea,317918542353.39874,317.9185423533987
South Sudan,1478943357.814457,1.4789433578144568
Spain,215419426884.49292,215.4194268844929
Sri Lanka,4526822771.547938,4.5268227715479386
Sudan,2406607421.4043612,2.4066074214043613
Suriname,1244244738.9043615,1.2442447389043614
Swaziland,955836857.9620266,0.9558368579620266
Sweden,51186436402.76208,51.18643640276208
Switzerland,47431420392.308235,47.43142039230823
Syria,35945275852.323296,35.9452758523233
Taiwan,85546822276.5113,85.5468222765113
Tajikistan,6698840331.566047,6.698840331566046
Thailand,127745404894.30429,127.74540489430429
The Bahamas,389875682.14766014,0.38987568214766016
Togo,699575858.097864,0.699575858097864
Trinidad and Tobago,12907063826.745844,12.907063826745844
Tunisia,15113940482.763922,15.113940482763923
Turkey,152860674476.44385,152.86067447644385
Turkmenistan,31144205933.853634,31.144205933853634
Uganda,988868153.2716336,0.9888681532716336
Ukraine,555055961741.9792,555.0559617419792
United Arab Emirates,63348595521.61527,63.34859552161527
United Kingdom,541328131914.222,541.328131914222
United Republic of Tanzania,2195545559.4475255,2.1955455594475257
United States of America,5076542572523.068,5076.542572523068
Uruguay,3168364930.578802,3.168364930578802
Uzbekistan,112547353404.9371,112.5473534049371
Vanuatu,7466082.827673651,0.007466082827673652
Venezuela,98654819432.85712,98.65481943285711
Vietnam,25226759889.638794,25.226759889638792
Western Sahara,57995873.48648861,0.05799587348648861
Yemen,8750253709.91196,8.750253709911961
Zambia,2772772787.6536756,2.7727727876536754
Zimbabwe,17425897447.493317,17.425897447493316
