ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,3075615452.811662,3.0756154528116624
Albania,4163495288.102102,4.1634952881021015
Algeria,86405295121.7253,86.4052951217253
Angola,7636851486.801898,7.636851486801898
Antarctica,18714668.10681033,0.01871466810681033
Argentina,122470281571.0537,122.47028157105369
Armenia,4248464466.5695596,4.248464466569559
Australia,341705247548.51215,341.70524754851215
Austria,77902058099.91084,77.90205809991085
Azerbaijan,26843548169.272358,26.843548169272356
Bangladesh,34221647251.989693,34.221647251989694
Belarus,56847162452.275375,56.84716245227538
Belgium,123271713001.98613,123.27171300198613
Belize,203359905.3634819,0.20335990536348192
Benin,2319118286.2693543,2.3191182862693545
Bhutan,470338349.9619636,0.4703383499619636
Bolivia,8750299495.695755,8.750299495695755
Bosnia and Herzegovina,15554296291.016687,15.554296291016687
Botswana,4368148176.944465,4.368148176944465
Brazil,337560231363.79895,337.56023136379895
Brunei,6056041819.229835,6.056041819229835
Bulgaria,49446617297.942116,49.44661729794212
Burkina Faso,1284247295.7856863,1.2842472957856863
Burundi,245471710.940201,0.245471710940201
Cambodia,2899503166.7378044,2.8995031667378046
Cameroon,4159935388.3185444,4.159935388318544
Canada,557374337896.1971,557.3743378961972
Central African Republic,434224498.82743853,0.4342244988274385
Chad,547721404.5456799,0.54772140454568
Chile,39657083411.65116,39.65708341165116
China,4062707422571.0454,4062.7074225710453
Colombia,57525866096.710686,57.525866096710686
Costa Rica,5650782556.934015,5.650782556934015
Croatia,22356938900.09421,22.35693890009421
Cuba,19730464435.988003,19.730464435988004
Cyprus,6347624061.465465,6.347624061465464
Czechia,138046913928.4349,138.04691392843492
Democratic Republic of the Congo,2241024128.0256486,2.2410241280256487
Denmark,45966424482.95981,45.96642448295981
Djibouti,340536904.87703246,0.3405369048770325
Dominican Republic,20303732834.732193,20.303732834732195
East Timor,54678415.90962347,0.05467841590962347
Ecuador,22141938174.266426,22.141938174266425
Egypt,136436882156.67241,136.4368821566724
El Salvador,6179561746.248635,6.179561746248635
Equatorial Guinea,929816500.5846076,0.9298165005846076
Eritrea,747486665.4509381,0.7474866654509381
Estonia,17094459332.8254,17.094459332825398
Ethiopia,5621567314.221798,5.621567314221798
