ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,3178595755.3683896,3.1785957553683897
Albania,4620347576.290386,4.620347576290386
Algeria,93194545007.26556,93.19454500726556
Angola,9727787928.909937,9.727787928909937
Antarctica,21227315.560954582,0.02122731556095458
Argentina,147735044804.30585,147.73504480430586
Armenia,4625252074.099306,4.625252074099306
Australia,353876892354.04083,353.8768923540408
Austria,84387216529.46954,84.38721652946954
Azerbaijan,29116629464.992687,29.116629464992688
Bangladesh,37650694754.03733,37.65069475403733
Belarus,60986717673.59504,60.98671767359504
Belgium,126962075163.60124,126.96207516360124
Belize,214172630.21383828,0.21417263021383828
Benin,2733085968.2539015,2.7330859682539015
Bhutan,514511462.27053803,0.514511462270538
Bolivia,9741581864.369864,9.741581864369863
Bosnia and Herzegovina,16861233072.554937,16.86123307255494
Botswana,4264709960.283888,4.264709960283888
Brazil,350310700328.03326,350.31070032803325
Brunei,6907985621.073265,6.907985621073265
Bulgaria,53410076323.652725,53.410076323652724
Burkina Faso,1296173450.5802388,1.296173450580239
Burundi,243198377.1544327,0.2431983771544327
Cambodia,3182936666.817692,3.182936666817692
Cameroon,4382024926.602843,4.382024926602844
Canada,563313187032.077,563.313187032077
Central African Republic,427062661.4706684,0.4270626614706684
Chad,762882540.9465462,0.7628825409465462
Chile,43930334881.19881,43.93033488119881
China,5386833755835.922,5386.833755835922
Colombia,57395774034.244835,57.39577403424484
Costa Rica,6174202832.5130415,6.174202832513042
Croatia,23839451710.715908,23.83945171071591
Cuba,18924360005.273884,18.924360005273883
Cyprus,6811875288.866023,6.811875288866023
Czechia,141769209682.73947,141.76920968273947
Democratic Republic of the Congo,2608373618.527941,2.608373618527941
Denmark,45547983273.30789,45.54798327330789
Djibouti,357614261.8495129,0.3576142618495129
Dominican Republic,16833843733.523817,16.833843733523818
East Timor,176822080.5201482,0.1768220805201482
Ecuador,24061629216.054207,24.061629216054207
Egypt,150825366927.80853,150.82536692780855
El Salvador,6949995642.251085,6.949995642251086
Equatorial Guinea,2252142317.784982,2.2521423177849824
Eritrea,753525093.9074937,0.7535250939074937
Estonia,19537031539.26729,19.53703153926729
Ethiopia,6487272889.293558,6.487272889293558
Falkland Islands,32048128.906145226,0.032048128906145223
Fiji,1815131667.9058256,1.8151316679058256
Finland,56294695103.98409,56.29469510398409
France,415862060014.11755,415.86206001411756
French Southern and Antarctic Lands,225529.9915935579,0.00022552999159355792
Gabon,4154353554.4591155,4.1543535544591155
Gambia,367764727.0057333,0.3677647270057333
Georgia,4794419285.906443,4.794419285906443
Germany,881523365153.1517,881.5233651531518
Ghana,7160455217.391829,7.160455217391829
Greece,93758326224.99373,93.75832622499372
Greenland,1598394074.0823276,1.5983940740823277
Guatemala,11302277320.518799,11.3022773205188
Guinea,1911382746.9712245,1.9113827469712246
Guinea-Bissau,302166966.2226774,0.3021669662226774
Guyana,1026055689.407395,1.026055689407395
Haiti,2046417991.3763287,2.0464179913763285
Honduras,7379142281.008162,7.3791422810081615
Hungary,63499652911.30429,63.49965291130429
Iceland,3601206414.43891,3.60120641443891
India,1047189779793.9574,1047.1897797939573
Indonesia,299264030410.4742,299.26403041047416
Iran,424221814423.3898,424.2218144233898
Iraq,91563870805.46948,91.56387080546948
Ireland,36531070804.58426,36.53107080458426
Israel,40970506532.59731,40.97050653259731
Italy,469309540015.0639,469.30954001506393
Ivory Coast,6454194421.500846,6.454194421500846
Jamaica,10179528208.32615,10.17952820832615
Japan,1167143561610.8665,1167.1435616108665
Jordan,13716910921.854721,13.716910921854721
Kazakhstan,179574004633.03436,179.57400463303435
Kenya,8707722329.513042,8.707722329513043
Kosovo,13507965194.073912,13.507965194073911
Kuwait,57937348059.114426,57.93734805911443
Kyrgyzstan,7351702350.6648855,7.351702350664885
Laos,2558082989.9328613,2.558082989932861
Latvia,10574784862.123022,10.574784862123023
Lebanon,11822600799.33858,11.822600799338579
Lesotho,449356945.5350965,0.44935694553509653
Liberia,637802684.8646371,0.6378026848646371
Libya,39117114857.949005,39.117114857949005
Lithuania,11125315745.635454,11.125315745635454
Luxembourg,8909839744.30902,8.90983974430902
Macedonia,9935257209.36014,9.93525720936014
Madagascar,1718958642.7657568,1.7189586427657568
Malawi,3134848513.4882035,3.1348485134882034
Malaysia,181948181508.6606,181.9481815086606
Mali,1349088451.6982143,1.3490884516982142
Mauritania,1643879944.1956723,1.6438799441956722
Mexico,414622998716.2814,414.62299871628136
Moldova,5485210138.212851,5.48521013821285
Mongolia,10701342699.970432,10.701342699970432
Montenegro,3302571719.305408,3.302571719305408
Morocco,43783092419.3874,43.7830924193874
Mozambique,3234493634.2298155,3.2344936342298154
Myanmar,11691748665.342789,11.69174866534279
Namibia,3015380842.634198,3.0153808426341984
Nepal,3609264301.330222,3.609264301330222
Netherlands,187920848388.88416,187.92084838888417
New Caledonia,2059351765.4911413,2.0593517654911415
New Zealand,32956544527.318398,32.9565445273184
Nicaragua,4793684381.303652,4.793684381303652
Niger,1211006686.871507,1.211006686871507
Nigeria,84448989364.73102,84.44898936473102
North Korea,73558127970.13089,73.55812797013088
Northern Cyprus,1351816663.8840334,1.3518166638840334
Norway,38400809485.073135,38.40080948507313
Oman,31361591772.673203,31.3615917726732
Pakistan,130121416132.62859,130.12141613262858
Palestine,5230697649.544937,5.230697649544937
Panama,5858225217.128927,5.858225217128927
Papua New Guinea,3675663690.0082035,3.6756636900082036
Paraguay,4787206378.788458,4.787206378788458
Peru,32156776310.8142,32.1567763108142
Philippines,59269750538.70851,59.269750538708514
Poland,320059135948.62445,320.05913594862443
Portugal,52639767825.14026,52.63976782514026
Puerto Rico,14038252641.18331,14.038252641183309
Qatar,15396438287.652601,15.396438287652602
Republic of Serbia,51374182188.93716,51.374182188937155
Republic of the Congo,2100977809.2967627,2.100977809296763
Romania,110174380200.50961,110.17438020050962
Russia,1668855710871.7197,1668.8557108717198
Rwanda,510977855.4211637,0.5109778554211637
Saudi Arabia,267090022803.13553,267.0900228031355
Senegal,5284767841.506367,5.284767841506366
Sierra Leone,542615706.5001622,0.5426157065001622
Slovakia,41667915647.73949,41.667915647739484
Slovenia,17038539526.842201,17.0385395268422
Solomon Islands,251152081.54736447,0.25115208154736446
Somalia,690411642.7948906,0.6904116427948906
Somaliland,241299391.11384824,0.24129939111384824
South Africa,404499490263.11426,404.49949026311424
South Korea,416541029963.0342,416.5410299630342
South Sudan,3102169263.9805064,3.1021692639805063
Spain,327216216240.8992,327.21621624089914
Sri Lanka,11426088734.379923,11.426088734379922
Sudan,6779509257.794419,6.77950925779442
Suriname,1417535780.905368,1.4175357809053681
Swaziland,1181687136.6829476,1.1816871366829476
Sweden,49357035289.878876,49.35703528987887
Switzerland,49766016888.46419,49.766016888464186
Syria,47672532546.39132,47.67253254639132
Taiwan,144999409211.82242,144.9994092118224
Tajikistan,4896023626.871364,4.896023626871363
Thailand,217985016629.9438,217.9850166299438
The Bahamas,454871401.45736605,0.45487140145736604
Togo,1876675218.672005,1.876675218672005
Trinidad and Tobago,28818523696.887154,28.818523696887155
Tunisia,20561202786.572205,20.561202786572206
Turkey,224477356371.92462,224.47735637192463
Turkmenistan,54301835561.41675,54.301835561416745
Uganda,1970492621.9765615,1.9704926219765615
Ukraine,361640303578.9884,361.6403035789884
United Arab Emirates,110278230381.37776,110.27823038137777
United Kingdom,547537365804.9364,547.5373658049364
United Republic of Tanzania,4695303822.085905,4.695303822085905
United States of America,5836138799305.746,5836.138799305746
Uruguay,3732276068.2550635,3.7322760682550635
Uzbekistan,126392697869.0135,126.3926978690135
Vanuatu,14797839.346018903,0.014797839346018903
Venezuela,129141151803.57784,129.14115180357783
Vietnam,87940644541.73483,87.94064454173483
Western Sahara,68965371.83017701,0.06896537183017701
Yemen,20247888853.272865,20.247888853272865
Zambia,2323603992.002026,2.323603992002026
Zimbabwe,10375188649.970724,10.375188649970724
