ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,3351985495.7996683,3.3519854957996684
Albania,8113641539.283122,8.113641539283122
Algeria,55587355341.19239,55.58735534119239
Angola,4533414438.3710575,4.533414438371057
Antarctica,13765376.57565958,0.01376537657565958
Argentina,102165643704.05301,102.16564370405301
Armenia,17670145447.645653,17.670145447645652
Australia,190412976220.14212,190.41297622014213
Austria,67530043449.529335,67.53004344952933
Azerbaijan,35357881583.889755,35.35788158388976
Bangladesh,7154658689.5374565,7.154658689537457
Belarus,96454006558.02347,96.45400655802347
Belgium,151408329262.93384,151.40832926293385
Belize,97594360.84569573,0.09759436084569574
Benin,638433717.9230953,0.6384337179230953
Bhutan,99166627.52645746,0.09916662752645745
Bolivia,5207393699.994418,5.207393699994418
Bosnia and Herzegovina,15548718690.29191,15.54871869029191
Botswana,1339580276.4117007,1.3395802764117006
Brazil,203764134815.24576,203.76413481524577
Brunei,3035877469.190942,3.035877469190942
Bulgaria,92501587968.53943,92.50158796853943
Burkina Faso,442427852.9567,0.4424278529567
Burundi,98684128.1407251,0.09868412814072511
Cambodia,529746126.83115256,0.5297461268311525
Cameroon,2176932668.440245,2.1769326684402452
Canada,446120036796.16064,446.12003679616066
Central African Republic,205198144.0140969,0.2051981440140969
Chad,374840522.5063994,0.3748405225063994
Chile,19639628906.728104,19.639628906728102
China,1591177331831.509,1591.177331831509
Colombia,37161874415.53974,37.16187441553974
Costa Rica,2815313495.9628167,2.8153134959628168
Croatia,26157897991.549507,26.157897991549508
Cuba,30788200628.659737,30.788200628659737
Cyprus,2600948355.6947894,2.6009483556947894
Czechia,214033456469.02505,214.03345646902505
Democratic Republic of the Congo,4079881464.1856174,4.079881464185617
Denmark,51085550519.61159,51.08555051961159
Djibouti,366157307.74650484,0.36615730774650485
Dominican Republic,6577817289.970175,6.577817289970175
East Timor,18031531.629314017,0.018031531629314018
Ecuador,11135288312.98094,11.13528831298094
Egypt,34821087132.72481,34.821087132724806
El Salvador,2483173441.0131984,2.4831734410131983
Equatorial Guinea,51870570.1741278,0.0518705701741278
Eritrea,258465609.17013636,0.2584656091701364
Estonia,35989019474.78199,35.98901947478199
Ethiopia,1621641931.4802752,1.6216419314802752
Falkland Islands,17559787.286451064,0.017559787286451065
Fiji,941655871.3930124,0.9416558713930124
Finland,47952226836.887,47.952226836887
France,528716344787.63934,528.7163447876393
French Southern and Antarctic Lands,152624.92690037485,0.00015262492690037486
Gabon,3866153152.405927,3.866153152405927
Gambia,140376472.76247212,0.14037647276247212
Georgia,32840299791.721268,32.840299791721264
Germany,1184537709009.4844,1184.5377090094844
Ghana,2967500688.060533,2.9675006880605332
Greece,46295481163.18398,46.295481163183986
Greenland,662994164.6615179,0.6629941646615178
Guatemala,4887760229.785213,4.887760229785213
Guinea,716409763.8647768,0.7164097638647768
Guinea-Bissau,84376680.6239737,0.0843766806239737
Guyana,1123099474.0042174,1.1230994740042173
Haiti,996754524.0384232,0.9967545240384231
Honduras,1743123429.8939445,1.7431234298939444
Hungary,94032367500.64156,94.03236750064156
Iceland,2767127461.671972,2.7671274616719717
India,282224905512.939,282.224905512939
Indonesia,72501036516.11789,72.50103651611789
Iran,127450059733.43166,127.45005973343166
Iraq,58007558489.150826,58.007558489150824
Ireland,28260879163.818443,28.260879163818444
Israel,18071203909.860287,18.071203909860287
Italy,359347692884.20856,359.3476928842086
Ivory Coast,4442864514.723489,4.442864514723489
Jamaica,6872152413.177402,6.872152413177401
Japan,903297410865.0221,903.2974108650221
Jordan,4228785224.071741,4.228785224071741
Kazakhstan,257799560347.95624,257.79956034795623
Kenya,5133882186.557051,5.1338821865570505
Kosovo,8969342422.731926,8.969342422731925
Kuwait,33426264241.770992,33.426264241770994
Kyrgyzstan,22926102115.53602,22.92610211553602
Laos,757454068.1892189,0.7574540681892189
Latvia,22753533563.7962,22.7535335637962
Lebanon,5551123813.5955,5.5511238135955
Lesotho,139458287.31474218,0.1394582873147422
Liberia,1427444259.5665698,1.4274442595665697
Libya,26603748715.51033,26.60374871551033
Lithuania,23342674186.514618,23.342674186514618
Luxembourg,13557804107.852152,13.557804107852151
Macedonia,10371919340.162987,10.371919340162986
Madagascar,900293686.5551368,0.9002936865551368
Malawi,488803724.93470234,0.4888037249347023
Malaysia,37097661597.715775,37.09766159771578
Mali,569093892.3248248,0.5690938923248248
