ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,3423618357.9827104,3.4236183579827104
Albania,2682075688.93987,2.68207568893987
Algeria,80955282071.9099,80.95528207190989
Angola,5538472207.731364,5.538472207731364
Antarctica,15675314.273439372,0.01567531427343937
Argentina,105918365919.38913,105.91836591938913
Armenia,11890886610.343382,11.890886610343381
Australia,259391455564.42975,259.39145556442975
Austria,64767970484.10837,64.76797048410837
Azerbaijan,44417058705.47621,44.41705870547621
Bangladesh,16037580082.304855,16.037580082304856
Belarus,93304223930.66324,93.30422393066324
Belgium,120592387569.00655,120.59238756900655
Belize,146785230.6286995,0.1467852306286995
Benin,579130986.678089,0.579130986678089
Bhutan,230739833.72970256,0.23073983372970255
Bolivia,7640390851.920693,7.640390851920693
Bosnia and Herzegovina,16430842297.644333,16.430842297644332
Botswana,3555043359.304358,3.555043359304358
Brazil,229635504269.24893,229.63550426924894
Brunei,5674000391.10858,5.67400039110858
Bulgaria,63739830317.68849,63.739830317688494
Burkina Faso,539924222.7647043,0.5399242227647043
Burundi,238438604.64945665,0.23843860464945665
Cambodia,927420264.0138994,0.9274202640138994
Cameroon,3145988757.5282035,3.1459887575282033
Canada,455596109803.92413,455.59610980392415
Central African Republic,287571536.51197094,0.2875715365119709
Chad,452512208.6795722,0.4525122086795722
Chile,24427382327.971947,24.427382327971948
China,2650232227656.007,2650.2322276560067
Colombia,52954875440.38678,52.95487544038678
Costa Rica,4268129577.318181,4.268129577318181
Croatia,17418386937.749153,17.418386937749155
Cuba,19090448392.831604,19.090448392831604
Cyprus,5166593947.963596,5.166593947963596
Czechia,155710377696.82623,155.71037769682624
Democratic Republic of the Congo,2168695566.0020423,2.168695566002042
Denmark,46377737941.18373,46.37773794118373
Djibouti,469920593.5995183,0.4699205935995183
Dominican Republic,9502747855.353462,9.502747855353462
East Timor,31684745.72725653,0.031684745727256526
Ecuador,16375198147.74528,16.37519814774528
Egypt,94172050506.97903,94.17205050697903
El Salvador,3815115782.0481944,3.8151157820481942
Equatorial Guinea,59460637.97939953,0.05946063797939953
Eritrea,469901892.7786116,0.4699018927786116
Estonia,26316115624.241096,26.316115624241096
Ethiopia,2207955770.7644563,2.2079557707644564
Falkland Islands,21926126.60903555,0.021926126609035552
Fiji,909695645.7502761,0.9096956457502761
Finland,46592549302.20334,46.59254930220334
France,401949875383.9167,401.94987538391666
French Southern and Antarctic Lands,173801.3612389496,0.0001738013612389496
Gabon,3044004515.122477,3.0440045151224773
Gambia,166197720.07567924,0.16619772007567923
Georgia,21202805117.685204,21.202805117685205
Germany,943775161632.137,943.7751616321369
Ghana,3752987920.1040063,3.7529879201040064
Greece,73088601237.31439,73.08860123731439
Greenland,830450580.6221526,0.8304505806221526
Guatemala,5172945514.463108,5.172945514463108
Guinea,899353838.4226179,0.899353838422618
Guinea-Bissau,211998613.7751311,0.2119986137751311
Guyana,726492327.4692222,0.7264923274692222
Haiti,1270196514.4521296,1.2701965144521297
Honduras,2633789258.0855746,2.633789258085575
Hungary,64190776638.61461,64.19077663861461
Iceland,2501532629.037459,2.501532629037459
India,629739611382.6974,629.7396113826974
Indonesia,144278772917.78827,144.27877291778827
Iran,236188963740.6969,236.1889637406969
Iraq,76690365775.78973,76.69036577578973
Ireland,23335300394.287052,23.335300394287053
Israel,27626844899.64678,27.626844899646777
Italy,385319302103.39954,385.31930210339954
Ivory Coast,3391666894.365974,3.391666894365974
Jamaica,7949493612.15618,7.94949361215618
Japan,1072383460188.1045,1072.3834601881044
Jordan,12460887913.29101,12.46088791329101
Kazakhstan,268217873757.53015,268.2178737575301
Kenya,6668886020.11492,6.66888602011492
Kosovo,9726551353.781458,9.726551353781458
Kuwait,22790967408.382,22.790967408382
Kyrgyzstan,15591866001.43364,15.59186600143364
Laos,1313714325.7985444,1.3137143257985444
Latvia,16329518494.09594,16.32951849409594
Lebanon,6463262328.395997,6.463262328395997
Lesotho,165627441.829606,0.165627441829606
Liberia,295171804.6396639,0.29517180463966386
Libya,28001375727.97019,28.00137572797019
Lithuania,18226345229.487896,18.226345229487897
Luxembourg,9890249543.920753,9.890249543920753
Macedonia,9354435110.65005,9.35443511065005
Madagascar,1005532530.6828079,1.005532530682808
Malawi,1934406471.7167876,1.9344064717167875
