ADMIN,total_emissions_kg,total_emissions_Mt
Afghanistan,2768147088.3110337,2.7681470883110335
Albania,5144239011.044527,5.144239011044527
Algeria,45085707430.5598,45.0857074305598
Angola,4121391599.6890564,4.121391599689057
Antarctica,14788034.939431705,0.014788034939431705
Argentina,90708307464.12436,90.70830746412436
Armenia,13194056254.003199,13.194056254003199
Australia,165315839444.12143,165.31583944412142
Austria,64840545526.32546,64.84054552632546
Azerbaijan,25645116452.58173,25.64511645258173
Bangladesh,4384895105.873827,4.384895105873827
Belarus,71485775100.54666,71.48577510054666
Belgium,148116550417.39365,148.11655041739365
Belize,83499713.67410307,0.08349971367410307
Benin,566246715.7710005,0.5662467157710005
Bhutan,81120403.07731727,0.08112040307731727
Bolivia,4356396762.36758,4.356396762367581
Bosnia and Herzegovina,12543857188.888096,12.543857188888095
Botswana,396518846.23687524,0.3965188462368752
Brazil,134340299854.8765,134.3402998548765
Brunei,1944412234.274506,1.944412234274506
Bulgaria,72896593080.391,72.896593080391
Burkina Faso,337870955.8775828,0.3378709558775828
Burundi,74600000.18319434,0.07460000018319433
Cambodia,544640644.466178,0.5446406444661781
Cameroon,1264770233.0660298,1.2647702330660298
Canada,411229902973.14215,411.22990297314215
Central African Republic,160563098.5628888,0.1605630985628888
Chad,284785123.6083529,0.2847851236083529
Chile,21190858630.150093,21.190858630150093
China,1020739121395.595,1020.739121395595
Colombia,28467550441.836384,28.467550441836384
Costa Rica,1912395432.491876,1.912395432491876
Croatia,23388759549.99058,23.38875954999058
Cuba,22040913492.972084,22.040913492972084
Cyprus,2261908257.5189347,2.2619082575189347
Czechia,209812744071.56625,209.81274407156624
Democratic Republic of the Congo,3600349046.4328456,3.6003490464328456
Denmark,48404585204.38525,48.40458520438525
Djibouti,211452458.60051972,0.21145245860051973
Dominican Republic,4986085427.899517,4.986085427899517
East Timor,14764257.939714167,0.014764257939714167
Ecuador,5634105074.428103,5.634105074428104
Egypt,23334615949.008656,23.334615949008654
El Salvador,2109255449.7738755,2.1092554497738756
Equatorial Guinea,37455516.15035332,0.03745551615035332
Eritrea,305466000.60245544,0.30546600060245543
Estonia,24642213588.46401,24.64221358846401
Ethiopia,1555506662.1082735,1.5555066621082736
Falkland Islands,17850556.87188636,0.017850556871886362
Fiji,823708779.8992981,0.823708779899298
Finland,41250666833.54604,41.25066683354604
France,534937398561.69434,534.9373985616943
French Southern and Antarctic Lands,163963.76730853066,0.00016396376730853067
Gabon,2252287839.1575027,2.2522878391575025
Gambia,104486686.01150818,0.10448668601150818
Georgia,26843579747.742565,26.843579747742567
Germany,1158912217596.6792,1158.9122175966793
Ghana,2855047795.9945655,2.8550477959945657
Greece,33331544774.037834,33.33154477403784
Greenland,600206317.8560331,0.6002063178560331
Guatemala,3096410810.376392,3.096410810376392
Guinea,533629898.92792344,0.5336298989279235
